0128/06/2018000500315624             3504,187672141        608,1629/06/2018000        608,16  0,00          8030678196165         00000000000000                              0                      
0129/06/2018000400000774             7544,357672141       1309,3529/06/2018000       1309,35  0,00          8030709370266         00000000000000                              0                      
0129/06/2018000700009595             3391,037672141        588,5329/06/2018000        588,53  0,00          8030683069171         00000000000000                              0                      
0129/06/2018000700009608             3391,037672141        588,5329/06/2018000        588,53  0,00          8030683069171         00000000000000                              0                      
0129/06/2018000700009594             3391,037672141        588,5329/06/2018000        588,53  0,00          8030683069171         00000000000000                              0                      
0129/06/2018000700009596             3391,037672141        588,5329/06/2018000        588,53  0,00          8030683069171         00000000000000                              0                      
0129/06/2018000700009593             3391,037672141        588,5329/06/2018000        588,53  0,00          8030683069171         00000000000000                              0                      
0121/06/2018000300001904            20642,457672141       3582,5728/06/2018000       3582,57  0,00          8030711520488         00000000000000                              0                      
0118/06/2018000300001892             5187,187672141        900,2628/06/2018000        900,26  0,00          8030711520488         00000000000000                              0                      
0115/06/2018000300001890            46529,467672141       8075,3528/06/2018000       4037,68  0,00          8030711520488         00000000000000                              0                      
0108/06/2018000300001880            56403,967672141       9789,1228/06/2018000       4894,56  0,00          8030711520488         00000000000000                              0                      
0127/06/2018000500315399             9922,297672141       1722,0527/06/2018000       1722,05  0,00          8030678196165         00000000000000                              0                      
0119/06/2018000300000640           651747,757672141     113113,2527/06/2018000      56556,62  0,00          8033715582339         00000000000000                              0                      
0121/06/2018000400001838           602443,887672141     104556,3827/06/2018000      52278,19  0,00          8030648269257         00000000000000                              0                      
0115/06/2018000400000648           543411,007672141      94311,0027/06/2018000      47155,50  0,00          8033710023099         00000000000000                              0                      
0126/06/2018000500315186            11258,137672141       1953,8926/06/2018000       1953,89  0,00          8030678196165         00000000000000                              0                      
0119/06/2018000300000152            57533,087672141       9985,0826/06/2018000       7988,06  0,00          8020053848703         00000000000000                              0                      
0115/06/2018000300000506           499763,887672141      86735,8822/06/2018000      43367,94  0,00          8030711527504         00000000000000                              0                      
0116/06/2018000400000867           745753,257672141     129428,2522/06/2018000      64714,13  0,00          8033655428319         00000000000000                              0                      
0122/06/2018000400001151            10834,347672141       1880,3422/06/2018000       1880,34  0,00          8033711590329         00000000000000                              0                      
0122/06/2018000300000835             5672,487672141        984,4822/06/2018000        984,48  0,00          8030714987697         00000000000000                              0                      
0121/06/2018000500314477             8841,357672141       1534,4521/06/2018000       1534,45  0,00          8030678196165         00000000000000                              0                      
0121/06/2018000500314474            10137,997672141       1759,4921/06/2018000       1759,49  0,00          8030678196165         00000000000000                              0                      
0121/06/2018000700008947             3333,557672141        578,5521/06/2018000        578,55  0,00          8030683069171         00000000000000                              0                      
0121/06/2018000700008945             3333,557672141        578,5521/06/2018000        578,55  0,00          8030683069171         00000000000000                              0                      
0121/06/2018000700008946             3333,557672141        578,5521/06/2018000        578,55  0,00          8030683069171         00000000000000                              0                      
0121/06/2018000700008944             3333,557672141        578,5521/06/2018000        578,55  0,00          8030683069171         00000000000000                              0                      
0108/06/2018000400000637           512171,227672141      88889,2219/06/2018000      44444,61  0,00          8033710023099         00000000000000                              0                      
0117/05/2018000400000619           177643,137672141      30830,6319/06/2018000      15415,31  0,00          8033710023099         00000000000000                              0                      
0117/05/2018000400000618           215985,007672141      37485,0019/06/2018000      18742,50  0,00          8033710023099         00000000000000                              0                      
0111/06/2018000400000854           334540,807672141      58060,8019/06/2018000      29030,40  0,00          8033655428319         00000000000000                              0                      
0111/06/2018000400001802           492983,047672141      85559,0419/06/2018000      42779,52  0,00          8030707991417         00000000000000                              0                      
0112/06/2018000300000637            88339,687672141      15331,6819/06/2018000       7665,84  0,00          8033715582339         00000000000000                              0                      
0108/06/2018000300000616           301743,757672141      52368,7519/06/2018000      26184,38  0,00          8033715582339         00000000000000                              0                      
